0,0,0,0,0,0,0,3,4,4,4,5,0,0,0,0,
0,0,0,0,0,0,3,9,13,9,9,6,0,0,0,0,
0,0,0,0,0,0,2,9,9,9,12,6,0,0,0,0,
0,0,0,0,0,0,1,8,9,9,8,7,0,0,0,0,
0,0,0,0,0,0,0,0,10,11,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,10,11,0,0,0,0,0,0,
0,3,4,4,4,4,4,4,9,9,4,5,0,0,0,0,
0,2,9,12,9,9,9,9,9,9,9,6,0,0,0,0,
0,2,9,9,15,9,9,9,9,9,9,6,0,0,0,0,
0,2,9,9,14,9,9,15,9,9,9,6,0,0,0,0,
0,2,9,9,9,9,9,14,9,12,9,6,0,0,0,0,
0,2,9,15,9,9,9,9,9,9,9,6,0,0,0,0,
0,2,9,14,9,9,13,12,9,9,9,6,0,0,0,0,
0,2,9,9,9,9,9,9,9,9,13,6,0,0,0,0,
0,1,8,8,8,8,8,8,8,8,8,7,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
